Company,Country,Link,Utility
Liepajas Udens,Latvia,https://www.liepajas-udens.lv/,Water
AQP,Italy,https://www.aqp.it/,Water
SMAT,Italy,https://www.smatorino.it/,Water
CAP,Italy,https://www.gruppocap.it/,Water
ACEA,Italy,https://www.gruppo.acea.it/en,Water
HSY,Finland,https://www.hsy.fi/,Water
Veolia,Romania,https://www.veolia.ro/,Water
Tallinna Vesu,Estonia,https://tallinnavesi.ee/,Water
Bratislava Water Company,Slovakia,www.bvsas.sk,Water
Liptov Water Company,Slovakia,www.lvsas.sk,Water
Orava Water Company,Slovakia,www.ovs.sk,Water
Podtatranská vodárenská spoločnosť,Slovakia,www.pvsas.sk,Water
Podtatranská vod. operating company,Slovakia,www.pvpsas.sk,Water
Považská vodárenská spoločnosť,Slovakia,www.povs.sk,Water
North Slovak waterworks and sewers,Slovakia,www.sevak.sk,Water
Stredoslovenská vodárenská prevádzková spoločnosť,Slovakia,www.stvps.sk,Water
Central Slovak Water Company,Slovakia,www.stvak.sk,Water
Trenčín waterworks and sewers,Slovakia,www.tvkas.sk,Water
Trnavská vodárenská spoločnosť,Slovakia,www.tavos-as.sk,Water
Turčianska vodárenská spoločnosť,Slovakia,www.turvod.sk,Water
KOMVaK - Waterworks and sewerage of the town of Komárno,Slovakia,www.komvak.sk,Water
Water company Ružomberok,Slovakia,www.vsr.sk,Water
Východoslovenská vodárenská spoločnosť,Slovakia,www.vodarne.eu,Water
West Slovak Water Company,Slovakia,www.zsvs.sk,Water
AEW,Switzerland,https://www.aew.ch/,Water
Energie AR / AI,Switzerland,https://energie-ar-ai.ch/cms/index.php,Water
EBL,Switzerland,https://www.ebl.ch/de/,Water
BKW,Switzerland,https://www.bkw.com/en/,Water
Groupe E,Switzerland,https://www.groupe-e.ch/fr,Water
SIG,Switzerland,https://ww2.sig-ge.ch/en/home-en,Water
TB Glarus,Switzerland,https://www.tbglarus.ch/,Water
RE Power,Switzerland,https://www.repower.com/en-us/,Water
Jura Energy Corporation,Switzerland,https://www.juraenergy.com/,Water
EWL,Switzerland,https://www.ewl-luzern.ch/privatkunden/,Water
CKW,Switzerland,https://www.ckw.ch/,Water
Viteos,Switzerland,https://viteos.ch/,Water
EWO,Switzerland,https://ewo.ch/,Water
EKS,Switzerland,https://www.eks.ch/,Water
EWS,Switzerland,https://ews.ch/,Water
Regio energie Solothurn,Switzerland,https://www.regioenergie.ch/de/,Water
SGSW,Switzerland,https://www.sgsw.ch/,Water
EKT,Switzerland,https://www.ekt.ch/,Water
AET,Switzerland,https://www.aet.ch/,Water
Energie Uri,Switzerland,https://www.energieuri.ch/,Water
CREM,Switzerland,https://www.crem.ch/fr/,Water
WWZ,Switzerland,https://www.wwz.ch/de/,Water
Aqua,Poland,https://www.aqua.com.pl/,Water
Vilniaus vandenys,Lithuania,https://www.vv.lt,Water
Eydap,Greece,https://www.eydap.gr/en,Water
Eyath,Greece,https://www.eyath.gr/,Water
